Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
EU Watch,https://eupolicy.social/@euwatch,https://www.euwatch.be/,European Union,Multi,-,-,01/11/2022,-,Non profit organizations / Non Governmental Organizations,Organizaciones sin ánimo de lucro / Organizaciones no gubernamentales
European Center for Not-for-Profit Law,https://eupolicy.social/@ecnl,https://www.ecnl.org/,European Union,English,-,-,01/11/2022,-,Non profit organizations / Non Governmental Organizations,Organizaciones sin ánimo de lucro / Organizaciones no gubernamentales
European Digital Rights (EDRi),https://eupolicy.social/@edri,https://edri.org/,European Union,English,-,-,01/11/2022,-,Non profit organizations / Non Governmental Organizations,Organizaciones sin ánimo de lucro / Organizaciones no gubernamentales
