Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
Mattias Bjärnemalm,https://eupolicy.social/@Mab,https://www.linkedin.com/in/bjarnemalm/,European Union,English,-,Pirate Parties Network Officer,01/10/2022,-,Policy,Política
Thierry Breton,https://social.network.europa.eu/@EC_Commissioner_Breton,https://ec.europa.eu/commission/commissioners/2019-2024/breton_en,European Union,French / English,,,29/11/2022,,Policy,Política
