Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
McGill University,https://mstdn.ca/@mcgillu,http://www.mcgill.ca/,Canada,English / French,-,-,18/11/2022,-,Universities,Universidades
Science politique UdeM,https://mstdn.ca/@Sciencepo_UdeM,https://pol.umontreal.ca/,Canada,English / French,-,-,19/11/2022,-,Universities,Universidades
University of Toronto,https://mstdn.social/@UTM,https://www.utoronto.ca/,Canada,English,-,-,04/11/2022,-,Universities,Universidades
York University,https://mstdn.ca/@yorkuniversity,https://www.yorku.ca/,Canada,English,-,-,16/11/2022,-,Universities,Universidades
