Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
David GaladíEnríquez,https://red.niboe.info/@DGaladi,https://www.galadi.net/,Spain,Spanish,-,-,27/04/2022,-,Scientific dissemination,Divulgación científica
Ecopixeladas,https://social.politicaconciencia.org/@ecopixeladas,https://ecopixeladas.com/,Spain,Spanish,-,-,20/02/2021,-,Scientific dissemination,Divulgación científica
El área de Broca,https://mstdn.science/@areadebroca,https://twitter.com/elareadebroca/,Spain,Spanish,-,-,21/11/2022,-,Scientific dissemination,Divulgación científica
Neohumanismo,https://techhub.social/@neohumanismo,https://neohumanismo.hypotheses.org/,Spain,Spanish,-,-,24/11/2022,-,Scientific dissemination,Divulgación científica
The Conversation ES,https://newsie.social/@theconversationes,https://theconversation.com/es,Spain,Spanish,-,-,18/11/2022,-,Scientific dissemination,Divulgación científica
¡Cuánta Ciencia!,https://red.niboe.info/@CuantaCiencia,https://www.cuantaciencia.com/,Spain,Spanish,-,-,18/11/2022,-,Scientific dissemination,Divulgación científica
