Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
Bernardo Vergara,https://mas.to/@bernardovergara,https://www.eldiario.es/autores/bernardo_vergara/,Spain,Spanish,-,-,11/11/2022,-,Cartoonists / Illustrators,Dibujantes / Viñetistas / Ilustradores
Cirenia Arias,https://scicomm.xyz/@cireniasketches,http://cienciaenredes.com/cirenia-arias/,Spain,Spanish / English,-,Ilustradora científica,05/11/2022,-,Cartoonists / Illustrators,Dibujantes / Viñetistas / Ilustradores
JRMora,https://mastodon.social/@jrmora,https://jrmora.com/,Spain,Spanish,-,-,29/12/2019,-,Cartoonists / Illustrators,Dibujantes / Viñetistas / Ilustradores
