Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
Acoustical Society of America ,https://fediscience.org/@AcousticalSocietyofAmerica,https://acousticalsociety.org/,USA,English,-,-,07/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Institute for Energy Economics and Financial Analysis (IEEFA),https://mastodon.energy/@ieefa_institute,https://ieefa.org/,USA,English,-,-,09/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Society for Glycobiology ,https://qoto.org/@SfG,https://www.glycobiology.org/,USA,English,-,-,07/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
