Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
HCIL at University of Maryland,https://hci.social/@hcil_umd,https://hcil.umd.edu/,USA,English,https://www.youtube.com/@HCILUMD,-,05/11/2022,-,Universities,Universidades
IU Maurer School of Law,https://mastodon.lawprofs.org/@IUMaurerLaw,https://law.indiana.edu/,USA,English,-,-,09/11/2022,-,Universities,Universidades
MIT Press,https://mastodon.mit.edu/@themitpress,https://mitpress.mit.edu/,USA,English,-,-,10/11/2022,-,Universities,Universidades
Princeton University,https://home.social/@princetonuniversity,https://www.princeton.edu/,USA,English,-,-,17/11/2022,-,Universities,Universidades
Stanford Law School,https://masto.ai/@stanfordlaw,https://law.stanford.edu/,USA,English,-,-,21/11/2022,-,Universities,Universidades
UC Berkeley School of Law,https://sfba.social/@berkeleylaw,https://www.law.berkeley.edu/,USA,English,-,-,06/11/2022,-,Universities,Universidades
University of California Merced,https://mastodon.social/@universitymerce,https://graduatedivision.ucmerced.edu/,USA,English,-,-,22/09/2021,-,Universities,Universidades
University of New Hampshire,https://mastodon.social/@uofnh,http://unh.edu/,USA,English,-,-,16/11/2022,-,Universities,Universidades
