Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
Python Bytes,https://fosstodon.org/@pythonbytes,https://pythonbytes.fm/,USA,English,https://youtube.com/@pythonbytes,-,09/11/2022,-,Podcast,Podcast
Talk Python Podcast,https://fosstodon.org/@talkpython,https://talkpython.fm/,USA,English,https://youtube.com/@talkpython,-,09/11/2022,-,Podcast,Podcast
The Overhead Wire,https://sfba.social/@TheOverheadWire,http://theoverheadwire.com/,USA,English,https://usa.streetsblog.org/category/special-features/podcast/,Jeff Wood,11/05/2022,-,Podcast,Podcast
