Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords
Max Lab UW Seattle,https://fediscience.org/@StutteringLabUW,http://faculty.washington.edu/ludomax/lab,USA,English,-,-,04/11/2022	,-
Taia Wang Research Group ,https://mstdn.science/@wanglab,https://profiles.stanford.edu/taia-wang,USA,English,-,-,07/11/2022	,-
