Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
Oxford Internet Institute,https://mas.to/@oiioxford,https://www.oii.ox.ac.uk/,United Kingdom,English,-,-,14/11/2022,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Royal Astronomical Society ,https://astrodon.social/@royalastrosoc,https://ras.ac.uk/,United Kingdom,English,-,-,08/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
The Francis Crick Institute,https://mstdn.science/@thecrick,https://www.crick.ac.uk/,United Kingdom,English,-,-,07/11/2022,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
The Prehistoric Society ,https://mastodonapp.uk/@PrehistoricSociety,www.prehistoricsociety.org,United Kingdom,English,-,-,26/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
