Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
ABWC Research Group ,https://mstdn.science/@ABWC,https://www.wlv.ac.uk/research/institutes-and-centres/rihs---research-institute-in-healthcare-science/animal-behaviour-and-wildlife-conservation-/,United Kingdom,English,-,-,21/11/2022,-,Scientific research groups,Grupos de investigación científica
Landscape Research Group ,https://mas.to/@aboutlandscape,https://landscaperesearch.org/,United Kingdom,English,-,-,10/11/2022	,-,Scientific research groups,Grupos de investigación científica
LIP Research Group ,https://sciences.social/@lip,https://wp.lancs.ac.uk/lip/,United Kingdom,English,-,-,14/11/2022	,-,Scientific research groups,Grupos de investigación científica
