Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
Open Rights Group,https://social.openrightsgroup.org/@openrightsgroup,https://www.openrightsgroup.org/,United Kingdom,English,-,-,21/11/2022,-,Non profit organizations / Non Governmental Organizations,Organizaciones sin ánimo de lucro / Organizaciones no gubernamentales
Cardiff Civic Society,https://toot.wales/@CardiffCivicSoc,https://www.cardiffcivicsociety.org/,United Kingdom,English,-,-,19/11/2022,-,Non profit organizations / Non Governmental Organizations,Organizaciones sin ánimo de lucro / Organizaciones no gubernamentales
Afallen,https://toot.wales/@afallen,https://afallen.cymru/,,United Kingdom,English,-,-,2/3/2019,-,Non profit organizations / Non Governmental Organizations,Organizaciones sin ánimo de lucro / Organizaciones no gubernamentales
