Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
Electronic Frontier Foundation,https://mastodon.social/@eff,https://www.eff.org/,Global,English,-,-,04/04/2017,-,Foundations,Fundaciones
Free Software Foundation,https://hostux.social/@fsf,https://www.fsf.org/,Global,Multi,-,-,16/12/2019,-,Foundations,Fundaciones
Open Source Initiative,https://social.opensource.org/@osi,https://opensource.org/,Global,Multi,-,-,10/11/2022,-,Foundations,Fundaciones
Python Software Foundation,https://fosstodon.org/@ThePSF,https://www.python.org/,Global,English,-,-,08/11/2022,-,Foundations,Fundaciones
The R Foundation,https://fosstodon.org/@R_Foundation,https://r-project.org/,Global,English,-,-,10/11/2022,-,Foundations,Fundaciones
