Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords
Nonprofit Tech for Good,https://publicgood.social/@nonprofitorgs,https://www.nptechforgood.com/,-,English,-,-,21/11/2022,-
The Tor Project,https://mastodon.social/@torproject,https://torproject.org/,-,Multi,-,-,03/04/2017,-
