Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
Institut für Publizistik ,https://sciences.social/@ifp,https://www.ifp.uni-mainz.de/,Germany,English,-,-,21/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
MPI for Biological Intelligence ,https://wisskomm.social/@MPIforBI,https://www.bi.mpg.de/en,Germany,English,-,-,21/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
MPI of Molecular Cell Biology and Genetics,https://wisskomm.social/@mpicbg,https://www.mpi-cbg.de/,Germany,English,-,-,19/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Robert Koch-Institut ,https://social.bund.de/@RKI,https://www.rki.de,Germany,German,-,-,11/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Max-Planck-Gesellschaft,https://wisskomm.social/@maxplanckgesellschaft,https://www.mpg.de/en/socialmedia,Germany,German,-,-,18/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
