Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
Ask Open Science,https://scicomm.xyz/@askopenscience,https://ask-open-science.org/,Germany,English,-,-,24/04/2018,-,Scientific research groups,Grupos de investigación científica
Berlin Institute of Health,https://berlin.social/@bih_charite,https://www.bihealth.org/,Germany,English,-,-,15/11/2022,-,Scientific research groups,Grupos de investigación científica
FIZ ISE Research Group ,https://sigmoid.social/@fizise,https://www.fiz-karlsruhe.de/en/forschung/information-service-engineering,Germany,English,-,-,27/11/2022	,-,Scientific research groups,Grupos de investigación científica
LMU Open Science Center,https://scicomm.xyz/@lmu_osc,https://www.osc.lmu.de/,Germany,English,-,-,24/11/2022,-,Scientific research groups,Grupos de investigación científica
